nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
TATOOL,63,argentine trap,0,Mamichula - con Nicki Nicole,Atrevido,2020
T&K,53,boom bap,5,Habrá,1993: The Lost Tapes,2017
T&K,53,latin hip hop,5,Habrá,1993: The Lost Tapes,2017
Malon,38,heavy metal,6,Castigador Por Herencia,Espíritu Combativo,1995
Riff,43,argentine rock,12,Que Sea Rock,Que Sea Rock,1997
A.N.I.M.A.L.,41,groove metal,10,I WON’T BOW DOWN (feat. Andrés Giménez from A.N.I.M.A.L.),I WON’T BOW DOWN (feat. Andrés Giménez from A.N.I.M.A.L.),2025
A.N.I.M.A.L.,41,nu metal,10,I WON’T BOW DOWN (feat. Andrés Giménez from A.N.I.M.A.L.),I WON’T BOW DOWN (feat. Andrés Giménez from A.N.I.M.A.L.),2025
A.N.I.M.A.L.,41,argentine rock,10,I WON’T BOW DOWN (feat. Andrés Giménez from A.N.I.M.A.L.),I WON’T BOW DOWN (feat. Andrés Giménez from A.N.I.M.A.L.),2025
A.N.I.M.A.L.,41,rap metal,10,I WON’T BOW DOWN (feat. Andrés Giménez from A.N.I.M.A.L.),I WON’T BOW DOWN (feat. Andrés Giménez from A.N.I.M.A.L.),2025
NVLO,24,deathcore,5,¡Quémenlos!,Nulo,2019
Logos,31,christian rock,5,Como Relámpago en la Oscuridad,La Industria del Poder,1980
Carajo,43,argentine rock,8,Sacate la Mierda,Carajo,2002
V8,35,argentine rock,3,Destrucción,Luchando por el Metal,1983
V8,35,heavy metal,3,Destrucción,Luchando por el Metal,1983
V8,35,speed metal,3,Destrucción,Luchando por el Metal,1983
Horcas,40,heavy metal,14,Mano dura,Horcas,2002
Horcas,40,argentine rock,14,Mano dura,Horcas,2002
Flema,44,punk,18,Si Yo Soy Así,25 Años,2020
Flema,44,ska punk,18,Si Yo Soy Así,25 Años,2020
Flema,44,argentine rock,18,Si Yo Soy Así,25 Años,2020
Manal,40,argentine rock,8,Jugo de Tomate,Manal,1970
Manal,40,latin rock,8,Jugo de Tomate,Manal,1970
Deny,32,post-hardcore,3,En las Noches,En las Noches,2017
Deny,32,metalcore,3,En las Noches,En las Noches,2017
Plan 4,31,groove metal,8,En Mil Pedazos,En Mil Pedazos,2010
Fila9,37,christian rock,1,Infinito en Mí,La Voz de lo Que Se Olvidó,2018
Cianciarulo,35,argentine rock,1,Allá en Tilcara,Peso Argento,1997
Cianciarulo,35,folklore argentino,1,Allá en Tilcara,Peso Argento,1997
Jauría,33,argentine rock,2,El Puente Más Allá de lo Vivido,Libre o Muerto,2013
Jauría,33,punk,2,El Puente Más Allá de lo Vivido,Libre o Muerto,2013
Patan,50,mexican hip hop,5,Volar Volar,Sincopa,2010
Patan,50,latin hip hop,5,Volar Volar,Sincopa,2010
Los Antiguos,32,argentine rock,2,La Culpa Al Viento,Madera Prohibida,2015
Mastifal,28,groove metal,12,Apodado hijo del diablo,Holocausto Mental (Remastered),2000
ImSoul,46,anime rap,0,MAESTROS MACRORAP: Liga Neo Egoista,MAESTROS MACRORAP: Liga Neo Egoista,2025
ImSoul,46,anime,0,MAESTROS MACRORAP: Liga Neo Egoista,MAESTROS MACRORAP: Liga Neo Egoista,2025
Shaila,28,melodic hardcore,8,Cuando No Quieras Sentir,Mañanas,2004
Shaila,28,hardcore punk,8,Cuando No Quieras Sentir,Mañanas,2004
Shaila,28,punk,8,Cuando No Quieras Sentir,Mañanas,2004
Shaila,28,hardcore,8,Cuando No Quieras Sentir,Mañanas,2004
Barilari,36,rock en español,10,Como Yo Nadie Te Ha Amado,Canciones Doradas,2007
D-Mente,28,argentine rock,4,La Memoria,Un León D-Mente,2009
D-Mente,28,christian rock,4,La Memoria,Un León D-Mente,2009
D-Mente,28,nueva trova,4,La Memoria,Un León D-Mente,2009
Nihilismo,34,punk,10,Soy el desperfecto,El culto de lo inculto,2013
RYAN,27,argentine rock,2,Yo Me Quedo,Vaqueros,2024
Bynmc,44,anime rap,0,Kashimo Rap. Raijin,Kashimo Rap. Raijin,2024
Cirse,22,argentine rock,5,Por Tu Bien,Rompiente,2013
Lethal,20,thrash metal,7,Maza,Maza,1993
Imperio,22,power metal,5,Abismos En El Cielo,Abismos En El Cielo,1999
Imperio,22,christian rock,5,Abismos En El Cielo,Abismos En El Cielo,1999
Arraigo,21,folk metal,3,Tierra Adentro,Crioyo,2025
Arraigo,21,latin folk,3,Tierra Adentro,Crioyo,2025
Arraigo,21,folk rock,3,Tierra Adentro,Crioyo,2025
Barni,26,christian rock,5,Bueno es saberlo,Grandes clásicos,2015
DARLOTODO,22,nu metal,2,Imágenes Paganas,Imágenes Paganas,2025
DARLOTODO,22,groove metal,2,Imágenes Paganas,Imágenes Paganas,2025
DARLOTODO,22,rap metal,2,Imágenes Paganas,Imágenes Paganas,2025
Adlomusic,41,anime rap,2,Qin Shi Huang vs. Hades,Qin Shi Huang vs. Hades,2022
Adlomusic,41,anime,2,Qin Shi Huang vs. Hades,Qin Shi Huang vs. Hades,2022
Roma,19,post-hardcore,4,Más Mentiras Que Otra Cosa,Hijos de Padres Separados,2014
Eclipse Rock,31,christian rock,3,Transparente Corazon,La Fuerza del Espiritu,2017
CADELAGO,23,tech house,0,Sacred Life,Sacred Life,2022
XLAB,31,argentine trap,2,Mormón,MTPMJ,2022
Melian,24,post-hardcore,4,Entre Espectros y Fantasmas,Entre Espectros y Fantasmas,2011
Melian,24,metalcore,4,Entre Espectros y Fantasmas,Entre Espectros y Fantasmas,2011
