nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Mike y Desafiados,7,christian rock,2,Vencedor,Milenio Intenso,1999
Mesver,17,christian rock,4,Memoria (Identidad),Despertares,2014
Atland,29,folk metal,3,Easy Lover,Hard Times,2021
Atland,29,industrial metal,3,Easy Lover,Hard Times,2021
Atland,29,pirate metal,3,Easy Lover,Hard Times,2021
Daisy Rader,7,post-punk,0,Vivo Entre Sombras,Vivo Entre Sombras,2023
Cuntscrape,5,grindcore,5,Cum Fart Tart,Papsmear Campaign,2010
lezz,7,hyperpop,2,ADONiSE,CATARSiS,2025
Sygma,3,funk rock,2,Bajan - Cover,La Inercia del Presente,2017
K.V.M,1,deathcore,1,Conversio Insanea,Conversio Insanea,2024
Tantor,8,progressive rock,2,Mágico y Natural,Mágico y Natural,1982
Tantor,8,argentine rock,2,Mágico y Natural,Mágico y Natural,1982
Fisión Nuclear,3,thrash metal,2,Todo Pasa,Sopa de Murciélago,2022
Conxuro,8,folk metal,2,Acertijos En Las Tinieblas,Mester De Juglaría,2021
Conxuro,8,celtic rock,2,Acertijos En Las Tinieblas,Mester De Juglaría,2021
Conxuro,8,medieval metal,2,Acertijos En Las Tinieblas,Mester De Juglaría,2021
Ararat,5,stoner rock,5,Nicotina Y Destrucción,Cabalgata Hacia La Luz,2014
Ararat,5,sludge metal,5,Nicotina Y Destrucción,Cabalgata Hacia La Luz,2014
Ararat,5,doom metal,5,Nicotina Y Destrucción,Cabalgata Hacia La Luz,2014
Matan S.a.,3,death metal,3,Psicología una Mentira,Parte III: El Orfanato,2017
Matan S.a.,3,groove metal,3,Psicología una Mentira,Parte III: El Orfanato,2017
Taura,4,stoner rock,5,A Cántaros,El Fin del Color,2011
Taura,4,alternative metal,5,A Cántaros,El Fin del Color,2011
Degenerhate,5,grindcore,2,War Inside My Head,Chronicles of the Apocalypse,2014
Hugo López,7,christian rock,3,Fuego,Fuego,2018
Hugo López,7,christian alternative rock,3,Fuego,Fuego,2018
O.D.R.,5,hardcore punk,4,¿Dónde te encuentro a vos?,Odiosa Discriminación Racial (Digital Version),2022
Bloodparade,5,gothic metal,4,Nevermore,Take My Blood,2007
888,3,metalcore,1,Luz de Luna,Empathie,2018
Disomnia,3,deathcore,1,Impulsos,Reconversión,2025
Laico,2,thrash metal,1,Mártires de hoy,Los que llevan el control,2025
TRIPA,5,hardcore punk,0,SINZEN,S/T (DEMO),2023
Inflexion,9,christian rock,1,Mi Destino,Eternidad,2015
Inflexion,9,post-hardcore,1,Mi Destino,Eternidad,2015
tavi,8,hyperpop,1,Problemas,Problemas,2023
Ojis,6,christian rock,2,Tu Dulce Hogar,Tu Dulce Hogar,2025
Ber Stinco,12,doom metal,5,Furtivo Cazador,La Insubordinación Fundante,2021
A.M.E.N,18,punk,4,SOMOS DIFERENTES,FABRICANDO LA BARATA OBRA,2003
A.M.E.N,18,ska punk,4,SOMOS DIFERENTES,FABRICANDO LA BARATA OBRA,2003
En-Negro,2,rock urbano,2,Hijo Del Viento,Sueños De Gloria,2018
Plus,5,argentine rock,4,Noches De Rock'N' Roll,No Pisar El Infinito,2011
Eidyllion,4,power metal,3,En Mi Voz,Secretos (2007),2022
Eidyllion,4,argentine rock,3,En Mi Voz,Secretos (2007),2022
Mala Medicina,5,argentine rock,3,Sin Ti No Se Vivir,Mala Medicina,2004
Euroshima,13,deathrock,1,Matando Sueños,Gala,2021
Euroshima,13,darkwave,1,Matando Sueños,Gala,2021
Euroshima,13,cold wave,1,Matando Sueños,Gala,2021
Euroshima,13,post-punk,1,Matando Sueños,Gala,2021
