nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Los Turros,51,cumbia,4,Loquita - Remix,Loquita (Remix),2024
Los Turros,51,rkt,4,Loquita - Remix,Loquita (Remix),2024
Los Turros,51,turreo,4,Loquita - Remix,Loquita (Remix),2024
Los Turros,51,cuarteto,4,Loquita - Remix,Loquita (Remix),2024
Paulina Rubio,69,latin pop,19,El Ultimo Adiós - Varios Artistas Version,El Ultimo Adiós,2001
Michael Bublé,74,christmas,19,Feeling Good,It's Time,2005
Zedd,77,edm,4,The Middle,The Middle,2018
Carlos Baute,65,latin pop,14,Colgando en tus manos (con Marta Sánchez),De mi puño y letra - Edicion Coleccionista,2009
La Kuppe,51,cumbia,2,Ojitos Chiquititos,Ojitos Chiquititos,2019
La Kuppe,51,cuarteto,2,Ojitos Chiquititos,Ojitos Chiquititos,2019
La Liga,51,cumbia,13,Hoy Te Vi,Gracia Divina,2013
La Liga,51,cuarteto,13,Hoy Te Vi,Gracia Divina,2013
Gloria Trevi,74,latin pop,27,Con los Ojos Cerrados,Me Siento Tan Sola,1992
Hindia,80,indonesian indie,3,Rumah Ke Rumah,Menari Dengan Bayangan,2019
Hindia,80,indonesian pop,3,Rumah Ke Rumah,Menari Dengan Bayangan,2019
Shiva,79,italian trap,9,NEON,SANTANA MONEY GANG,2025
Enya,73,new age,16,Only Time,A Day Without Rain,2000
Enya,73,celtic,16,Only Time,A Day Without Rain,2000
CNCO,67,reggaeton,7,Reggaetón Lento (Bailemos),Primera Cita,2016
CNCO,67,latin,7,Reggaetón Lento (Bailemos),Primera Cita,2016
Río Roma,68,latin pop,5,Color Esperanza 2020,Color Esperanza 2020,2020
Rosana,61,trova,13,Si tú no estas,Lunas rotas,1996
Marcela Morelo,52,latin pop,12,Lo Mismo Que A Mí,Lo Mismo Que A Mí,2024
Marcela Morelo,52,cumbia,12,Lo Mismo Que A Mí,Lo Mismo Que A Mí,2024
Vance Joy,76,folk pop,7,Riptide,Dream Your Life Away (Deluxe Edition),2014
Marka Akme,51,cumbia,0,Linda - Remix,Linda (Remix),2023
Marka Akme,51,rkt,0,Linda - Remix,Linda (Remix),2023
Marka Akme,51,turreo,0,Linda - Remix,Linda (Remix),2023
Elvis Crespo,68,merengue,19,Suavemente,Suavemente,1998
Elvis Crespo,68,latin dance,19,Suavemente,Suavemente,1998
Elvis Crespo,68,salsa,19,Suavemente,Suavemente,1998
Elvis Crespo,68,latin,19,Suavemente,Suavemente,1998
AFROJACK,75,edm,4,Give Me Everything (feat. Nayer),Planet Pit (Deluxe Version),2011
AFROJACK,75,big room,4,Give Me Everything (feat. Nayer),Planet Pit (Deluxe Version),2011
Bailey Zimmerman,79,country,1,All The Way (feat. Bailey Zimmerman),All The Way (feat. Bailey Zimmerman),2025
Lauana Prado,78,sertanejo,11,Saudade Burra - Ao Vivo,Transcende (Ao Vivo),2025
Lauana Prado,78,sertanejo universitário,11,Saudade Burra - Ao Vivo,Transcende (Ao Vivo),2025
La Quinta Estacion,68,latin pop,6,El Sol No Regresa,Flores De Alquiler,2004
Juan Magán,70,reggaeton,5,Por Fin Te Encontré,Por Fin Te Encontré,2015
Juan Magán,70,latin,5,Por Fin Te Encontré,Por Fin Te Encontré,2015
Nene Malo,56,cumbia,3,Bailan Rochas y Chetas,Me Declaro Culpable,2012
Nene Malo,56,turreo,3,Bailan Rochas y Chetas,Me Declaro Culpable,2012
LOUTA,54,argentine trap,3,QUEREME,QUEREME,2022
Valentina Olguin,49,cuarteto,0,Aventura - En Vivo,Aventura (En Vivo),2024
Valentina Olguin,49,cumbia,0,Aventura - En Vivo,Aventura (En Vivo),2024
Papichamp,51,rkt,1,Turraka - Remix,Turraka (Remix),2021
Papichamp,51,turreo,1,Turraka - Remix,Turraka (Remix),2021
Papichamp,51,cumbia,1,Turraka - Remix,Turraka (Remix),2021
Tanishk Bagchi,79,bollywood,20,"Tu Hain Toh Main Hoon (From ""Sky Force"")","Tu Hain Toh Main Hoon (From ""Sky Force"")",2025
Tanishk Bagchi,79,hindi pop,20,"Tu Hain Toh Main Hoon (From ""Sky Force"")","Tu Hain Toh Main Hoon (From ""Sky Force"")",2025
Tanishk Bagchi,79,desi,20,"Tu Hain Toh Main Hoon (From ""Sky Force"")","Tu Hain Toh Main Hoon (From ""Sky Force"")",2025
Tanishk Bagchi,79,desi pop,20,"Tu Hain Toh Main Hoon (From ""Sky Force"")","Tu Hain Toh Main Hoon (From ""Sky Force"")",2025
