nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Vilma Palma e Vampiros,66,rock en español,12,Bye Bye,La Pachanga,1991
Vilma Palma e Vampiros,66,latin rock,12,Bye Bye,La Pachanga,1991
Vilma Palma e Vampiros,66,argentine rock,12,Bye Bye,La Pachanga,1991
Jelly Roll,82,country hip hop,24,Liar,Beautifully Broken,2024
Jelly Roll,82,country,24,Liar,Beautifully Broken,2024
a-ha,74,new wave,18,Take on Me,Hunting High and Low,1985
a-ha,74,synthpop,18,Take on Me,Hunting High and Low,1985
Tears For Fears,75,new wave,15,Everybody Wants To Rule The World,Songs From The Big Chair (Super Deluxe Edition),1985
Tears For Fears,75,synthpop,15,Everybody Wants To Rule The World,Songs From The Big Chair (Super Deluxe Edition),1985
NewJeans,79,k-pop,1,New Jeans,NewJeans 'Super Shy',2023
Wizkid,81,afrobeats,7,Gimme Dat (feat. Wizkid),Gimme Dat,2025
Wizkid,81,afrobeat,7,Gimme Dat (feat. Wizkid),Gimme Dat,2025
Wizkid,81,afropop,7,Gimme Dat (feat. Wizkid),Gimme Dat,2025
Wizkid,81,azonto,7,Gimme Dat (feat. Wizkid),Gimme Dat,2025
Wizkid,81,afroswing,7,Gimme Dat (feat. Wizkid),Gimme Dat,2025
Wizkid,81,afropiano,7,Gimme Dat (feat. Wizkid),Gimme Dat,2025
Sfera Ebbasta,82,italian trap,7,NEON,SANTANA MONEY GANG,2025
Sfera Ebbasta,82,trap,7,NEON,SANTANA MONEY GANG,2025
Alok,79,brazilian bass,1,Deep Down (feat. Never Dull),Deep Down (feat. Never Dull),2022
Alok,79,electronic,1,Deep Down (feat. Never Dull),Deep Down (feat. Never Dull),2022
Alok,79,slap house,1,Deep Down (feat. Never Dull),Deep Down (feat. Never Dull),2022
Alok,79,electro house,1,Deep Down (feat. Never Dull),Deep Down (feat. Never Dull),2022
Ado,78,j-pop,6,Take Me to the Beach (feat. Ado),Take Me to the Beach (feat. Ado),2024
Ado,78,anime,6,Take Me to the Beach (feat. Ado),Take Me to the Beach (feat. Ado),2024
Ado,78,vocaloid,6,Take Me to the Beach (feat. Ado),Take Me to the Beach (feat. Ado),2024
Ado,78,j-rock,6,Take Me to the Beach (feat. Ado),Take Me to the Beach (feat. Ado),2024
Bacilos,69,colombian pop,6,Caraluna,Caraluna,2002
Bacilos,69,latin pop,6,Caraluna,Caraluna,2002
Greeicy,71,colombian pop,3,Amantes,Amantes,2017
Greeicy,71,pop urbano,3,Amantes,Amantes,2017
aespa,79,k-pop,3,Whiplash,Whiplash - The 5th Mini Album,2024
Martin Garrix,77,edm,1,In the Name of Love,In the Name of Love,2016
Martin Garrix,77,electronica,1,In the Name of Love,In the Name of Love,2016
Martin Garrix,77,progressive house,1,In the Name of Love,In the Name of Love,2016
Ninho,82,pop urbaine,10,Triple V,Diamant Noir,2025
Sachin-Jigar,82,gujarati pop,30,Apna Bana Le,Bhediya (Original Motion Picture Soundtrack),2022
Sachin-Jigar,82,bollywood,30,Apna Bana Le,Bhediya (Original Motion Picture Soundtrack),2022
Sachin-Jigar,82,hindi pop,30,Apna Bana Le,Bhediya (Original Motion Picture Soundtrack),2022
Sachin-Jigar,82,desi,30,Apna Bana Le,Bhediya (Original Motion Picture Soundtrack),2022
