nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Gabriel Fauré,63,classical,50,"Dolly Suite, Op. 56: I. Berceuse",Fauré: Dolly Suite; Nocturnes; Barcarolles; Impromptus,2015
Gabriel Fauré,63,requiem,50,"Dolly Suite, Op. 56: I. Berceuse",Fauré: Dolly Suite; Nocturnes; Barcarolles; Impromptus,2015
Gabriel Fauré,63,classical piano,50,"Dolly Suite, Op. 56: I. Berceuse",Fauré: Dolly Suite; Nocturnes; Barcarolles; Impromptus,2015
Felix Mendelssohn,62,chamber music,50,"Lieder ohne Worte (Songs without Words), Book 2, Op. 30: No. 7 in E-Flat Major, Op. 30, No. 1","Mendelssohn, Felix: Songs Without Words, Vol. 1",1990
Felix Mendelssohn,62,classical,50,"Lieder ohne Worte (Songs without Words), Book 2, Op. 30: No. 7 in E-Flat Major, Op. 30, No. 1","Mendelssohn, Felix: Songs Without Words, Vol. 1",1990
Felix Mendelssohn,62,classical piano,50,"Lieder ohne Worte (Songs without Words), Book 2, Op. 30: No. 7 in E-Flat Major, Op. 30, No. 1","Mendelssohn, Felix: Songs Without Words, Vol. 1",1990
Felix Mendelssohn,62,choral,50,"Lieder ohne Worte (Songs without Words), Book 2, Op. 30: No. 7 in E-Flat Major, Op. 30, No. 1","Mendelssohn, Felix: Songs Without Words, Vol. 1",1990
Antonín Dvořák,62,classical,50,"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse","Dvořák: Serenade for Strings, Czech Suite",1991
Antonín Dvořák,62,chamber music,50,"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse","Dvořák: Serenade for Strings, Czech Suite",1991
Antonín Dvořák,62,orchestra,50,"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse","Dvořák: Serenade for Strings, Czech Suite",1991
Jóhann Jóhannsson,62,neoclassical,28,A Model of the Universe,The Theory of Everything (Original Motion Picture Soundtrack),2014
Stratovarius,56,power metal,19,Hunting High and Low,Infinite,1999
Stratovarius,56,melodic metal,19,Hunting High and Low,Infinite,1999
Stratovarius,56,symphonic metal,19,Hunting High and Low,Infinite,1999
Stratovarius,56,speed metal,19,Hunting High and Low,Infinite,1999
Stratovarius,56,metal,19,Hunting High and Low,Infinite,1999
Stratovarius,56,progressive metal,19,Hunting High and Low,Infinite,1999
Stratovarius,56,heavy metal,19,Hunting High and Low,Infinite,1999
Víkingur Ólafsson,62,classical piano,10,The Arts and the Hours,Debussy – Rameau,2020
Víkingur Ólafsson,62,classical,10,The Arts and the Hours,Debussy – Rameau,2020
Víkingur Ólafsson,62,minimalism,10,The Arts and the Hours,Debussy – Rameau,2020
Georges Bizet,59,opera,50,Carmen Suite No. 1: 5. Les toréadors,Bizet: Carmen Suites; L'Arlésienne Suites,1994
Georges Bizet,59,classical,50,Carmen Suite No. 1: 5. Les toréadors,Bizet: Carmen Suites; L'Arlésienne Suites,1994
Osvaldo Pugliese,41,tango,50,Remembranzas,Ausencia,1995
New York Philharmonic,61,classical,50,"Adagio for Strings, Op. 11",Nocturne,1960
New York Philharmonic,61,orchestra,50,"Adagio for Strings, Op. 11",Nocturne,1960
Leonard Bernstein,62,classical,50,West Side Story: Act I: America,West Side Story (Original Motion Picture Soundtrack),1961
Leonard Bernstein,62,orchestra,50,West Side Story: Act I: America,West Side Story (Original Motion Picture Soundtrack),1961
Jean-Yves Thibaudet,61,classical piano,44,"Dawn - From ""Pride & Prejudice"" Soundtrack",Pride and Prejudice - OST,2005
Jean-Yves Thibaudet,61,classical,44,"Dawn - From ""Pride & Prejudice"" Soundtrack",Pride and Prejudice - OST,2005
Duke Ellington,59,jazz,50,In A Sentimental Mood,Duke Ellington & John Coltrane,1963
Duke Ellington,59,big band,50,In A Sentimental Mood,Duke Ellington & John Coltrane,1963
Duke Ellington,59,swing music,50,In A Sentimental Mood,Duke Ellington & John Coltrane,1963
Duke Ellington,59,cool jazz,50,In A Sentimental Mood,Duke Ellington & John Coltrane,1963
Maurice Ravel,61,classical,50,Miroirs: III. Une barque sur l'océan,"Ravel: Miroirs, Jeux D'Eau, Pavane Pour Une Infante Défunte",1994
Maurice Ravel,61,classical piano,50,Miroirs: III. Une barque sur l'océan,"Ravel: Miroirs, Jeux D'Eau, Pavane Pour Une Infante Défunte",1994
Maurice Ravel,61,neoclassical,50,Miroirs: III. Une barque sur l'océan,"Ravel: Miroirs, Jeux D'Eau, Pavane Pour Une Infante Défunte",1994
Sonata Arctica,54,power metal,20,FullMoon,Ecliptica (International Version),1999
Sonata Arctica,54,symphonic metal,20,FullMoon,Ecliptica (International Version),1999
Sonata Arctica,54,melodic metal,20,FullMoon,Ecliptica (International Version),1999
Sonata Arctica,54,speed metal,20,FullMoon,Ecliptica (International Version),1999
Sonata Arctica,54,metal,20,FullMoon,Ecliptica (International Version),1999
Sonata Arctica,54,progressive metal,20,FullMoon,Ecliptica (International Version),1999
Sonata Arctica,54,folk metal,20,FullMoon,Ecliptica (International Version),1999
Philadelphia Orchestra,60,classical,50,"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",Rachmaninov Variations,2015
Philadelphia Orchestra,60,orchestra,50,"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",Rachmaninov Variations,2015
Andre de Ridder,60,classical,8,Spring 1 - 2012,"Recomposed By Max Richter: Vivaldi, The Four Seasons",2014
HAUSER,58,classical,11,Air on a G String,Classic,2020
