nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
BLACKPINK,80,k-pop,7,Pink Venom,BORN PINK,2022
beabadoobee,82,bedroom pop,8,the perfect pair,Beatopia,2022
Laura Pausini,73,latin pop,37,Se Fue,Cosa Nuestra,2024
Laura Pausini,73,italo dance,37,Se Fue,Cosa Nuestra,2024
j mena,55,cuarteto,3,SINVERGÜENZA - con Angela Torres,SINVERGÜENZA - con Angela Torres,2023
j mena,55,cumbia,3,SINVERGÜENZA - con Angela Torres,SINVERGÜENZA - con Angela Torres,2023
Max Carra,57,cumbia,0,UWAIE - versión cumbia,UWAIE (versión cumbia),2024
Max Carra,57,cuarteto,0,UWAIE - versión cumbia,UWAIE (versión cumbia),2024
Alicia Keys,80,r&b,26,If I Ain't Got You,The Diary Of Alicia Keys,2003
Alicia Keys,80,neo soul,26,If I Ain't Got You,The Diary Of Alicia Keys,2003
Bomba Estéreo,73,latin alternative,9,Ojitos Lindos,Un Verano Sin Ti,2022
Burna Boy,81,afrobeats,8,WE PRAY,Moon Music (Full Moon Edition),2024
Burna Boy,81,afrobeat,8,WE PRAY,Moon Music (Full Moon Edition),2024
Burna Boy,81,afropop,8,WE PRAY,Moon Music (Full Moon Edition),2024
Burna Boy,81,afroswing,8,WE PRAY,Moon Music (Full Moon Edition),2024
Burna Boy,81,dancehall,8,WE PRAY,Moon Music (Full Moon Edition),2024
Burna Boy,81,afropiano,8,WE PRAY,Moon Music (Full Moon Edition),2024
LE SSERAFIM,81,k-pop,2,HOT,HOT (English ver.) (feat. JADE),2025
Jarabe De Palo,70,rock en español,15,La flaca,La Flaca,1996
Jarabe De Palo,70,latin rock,15,La flaca,La Flaca,1996
Jarabe De Palo,70,latin alternative,15,La flaca,La Flaca,1996
GIMS,83,french pop,13,NINAO,LE NORD SE SOUVIENT : L'ODYSSÉE,2025
GIMS,83,pop urbaine,13,NINAO,LE NORD SE SOUVIENT : L'ODYSSÉE,2025
Cali Y El Dandee,69,colombian pop,5,Por Fin Te Encontré,Por Fin Te Encontré,2015
Cali Y El Dandee,69,pop urbano,5,Por Fin Te Encontré,Por Fin Te Encontré,2015
Cali Y El Dandee,69,reggaeton,5,Por Fin Te Encontré,Por Fin Te Encontré,2015
Hernan y La Champion's Liga,55,cumbia,4,Despójate Vol.2,Despójate Vol.2,2024
Hernan y La Champion's Liga,55,cuarteto,4,Despójate Vol.2,Despójate Vol.2,2024
PinkPantheress,80,bedroom pop,4,Pain,to hell with it,2021
The Offspring,79,punk,13,The Kids Aren't Alright,Americana,1998
The Offspring,79,skate punk,13,The Kids Aren't Alright,Americana,1998
Lil Durk,82,drill,29,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),2020
Diplo,79,moombahton,14,Forever (feat. Malou & Yuna),Forever (feat. Malou & Yuna),2024
Fall Out Boy,80,emo,13,Centuries,American Beauty/American Psycho,2015
Fall Out Boy,80,pop punk,13,Centuries,American Beauty/American Psycho,2015
Fall Out Boy,80,emo pop,13,Centuries,American Beauty/American Psycho,2015
Pedro Capó,69,latin pop,7,Calma - Remix,MUNAY,2020
Pedro Capó,69,latin,7,Calma - Remix,MUNAY,2020
Mariah Carey,80,christmas,22,Obsessed,Memoirs of an imperfect Angel (International Version),2009
Thalia,70,latin pop,27,El Ultimo Adiós - Varios Artistas Version,El Ultimo Adiós,2001
blink-182,79,pop punk,13,All The Small Things,Enema Of The State,1999
blink-182,79,punk,13,All The Small Things,Enema Of The State,1999
blink-182,79,emo pop,13,All The Small Things,Enema Of The State,1999
blink-182,79,rock,13,All The Small Things,Enema Of The State,1999
blink-182,79,skate punk,13,All The Small Things,Enema Of The State,1999
blink-182,79,emo,13,All The Small Things,Enema Of The State,1999
Mrs. GREEN APPLE,83,j-pop,8,クスシキ,クスシキ,2025
Mrs. GREEN APPLE,83,anime,8,クスシキ,クスシキ,2025
Mrs. GREEN APPLE,83,j-rock,8,クスシキ,クスシキ,2025
My Chemical Romance,79,emo,8,Teenagers,The Black Parade,2006
My Chemical Romance,79,pop punk,8,Teenagers,The Black Parade,2006
My Chemical Romance,79,emo pop,8,Teenagers,The Black Parade,2006
Florence + The Machine,80,baroque pop,14,Dog Days Are Over,Lungs (Deluxe Version),2009
TOMORROW X TOGETHER,79,k-pop,9,Love Language,Love Language,2025
