nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Janine Jansen,49,chamber music,18,"Souvenir d'un lieu cher, Op. 42 (Arr. Lascae for Violin & String Orchestra): III. Mélodie","Tchaikovsky: Violin Concerto & Souvenir, Op. 42",2008
Renée Fleming,49,opera,50,Gianni Schicchi: O mio babbino caro,Puccini: Opera Arias,2008
Renée Fleming,49,classical,50,Gianni Schicchi: O mio babbino caro,Puccini: Opera Arias,2008
Marielle Labèque,50,minimalism,28,"Dolly Suite, Op. 56: I. Berceuse",Fauré: Dolly Suite; Nocturnes; Barcarolles; Impromptus,2015
Marielle Labèque,50,classical,28,"Dolly Suite, Op. 56: I. Berceuse",Fauré: Dolly Suite; Nocturnes; Barcarolles; Impromptus,2015
Marielle Labèque,50,classical piano,28,"Dolly Suite, Op. 56: I. Berceuse",Fauré: Dolly Suite; Nocturnes; Barcarolles; Impromptus,2015
Kay Johannsen,48,requiem,23,"Requiem, K. 626: III. Sequentia: f. Lacrimosa (Compl. Süssmayr, Orch. Beyer) - Live",Mozart: Requiem,1999
Kay Johannsen,48,classical,23,"Requiem, K. 626: III. Sequentia: f. Lacrimosa (Compl. Süssmayr, Orch. Beyer) - Live",Mozart: Requiem,1999
Kay Johannsen,48,choral,23,"Requiem, K. 626: III. Sequentia: f. Lacrimosa (Compl. Süssmayr, Orch. Beyer) - Live",Mozart: Requiem,1999
Miloš Karadaglić,49,classical,7,"Kinderszenen, Op. 15: Träumerei (Arr. Lewin for Guitar)","Schumann: Kinderszenen, Op. 15: Träumerei (Arr. Lewin for Guitar)",2021
City of London Sinfonia,49,choral,50,"Cello Concerto in B-Flat Major, RV 423: I. Allegro","Vivaldi: Cello Concerti, Vol. 3",1995
City of London Sinfonia,49,requiem,50,"Cello Concerto in B-Flat Major, RV 423: I. Allegro","Vivaldi: Cello Concerti, Vol. 3",1995
City of London Sinfonia,49,christmas,50,"Cello Concerto in B-Flat Major, RV 423: I. Allegro","Vivaldi: Cello Concerti, Vol. 3",1995
Kent Nagano,48,classical,50,A Night On The Bare Mountain,Danse Macabre,2016
Kent Nagano,48,minimalism,50,A Night On The Bare Mountain,Danse Macabre,2016
Kent Nagano,48,opera,50,A Night On The Bare Mountain,Danse Macabre,2016
Giovanni Battista Pergolesi,49,choral,50,God of Mercy and Compassion,Lent at Ephesus (Rereleased),2023
Giovanni Battista Pergolesi,49,requiem,50,God of Mercy and Compassion,Lent at Ephesus (Rereleased),2023
Giovanni Battista Pergolesi,49,classical,50,God of Mercy and Compassion,Lent at Ephesus (Rereleased),2023
Kyle McEvoy,49,lo-fi beats,14,thinking of you,Inaudible,2018
Kyle McEvoy,49,lo-fi,14,thinking of you,Inaudible,2018
