nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Fazıl Say,50,classical piano,50,İnsan İnsan,İlk Şarkılar,2013
Fazıl Say,50,classical,50,İnsan İnsan,İlk Şarkılar,2013
Amsterdam Baroque Orchestra,48,classical,50,"Wachet auf, ruft uns die Stimme, BWV 645","""Les Plaisirs"" - Baroque Masterpieces",2025
John C. Williams,47,classical,50,Cavatina,John Williams Plays the Movies,1993
Isaac Albéniz,48,classical piano,50,"Suite española, Op.47: No. 1 Granada",Mediterráneo,2011
Isaac Albéniz,48,classical,50,"Suite española, Op.47: No. 1 Granada",Mediterráneo,2011
Cecilia Bartoli,46,opera,50,I Believe,Believe (Deluxe),2020
Cecilia Bartoli,46,classical,50,I Believe,Believe (Deluxe),2020
Ileana Cotrubas,46,opera,23,"La traviata, Act I: Libiamo ne' lieti calici ""Brindisi""",Verdi: La Traviata,1977
Ileana Cotrubas,46,classical,23,"La traviata, Act I: Libiamo ne' lieti calici ""Brindisi""",Verdi: La Traviata,1977
Wilhelm Kempff,47,classical piano,50,"Sonata No.2 in E flat major, BWV 1031 - Arr. Wilhelm Kempff: Siciliano",Wilhelm Kempff Plays Bach. Transcriptions For Piano,1994
Wilhelm Kempff,47,classical,50,"Sonata No.2 in E flat major, BWV 1031 - Arr. Wilhelm Kempff: Siciliano",Wilhelm Kempff Plays Bach. Transcriptions For Piano,1994
Wilhelm Kempff,47,chamber music,50,"Sonata No.2 in E flat major, BWV 1031 - Arr. Wilhelm Kempff: Siciliano",Wilhelm Kempff Plays Bach. Transcriptions For Piano,1994
Myung-Whun Chung,47,opera,50,"Serenade for Strings in E Major, Op. 22, B. 52: IV. Larghetto",Dvorák: Serenades for Strings and Winds,2002
Myung-Whun Chung,47,classical,50,"Serenade for Strings in E Major, Op. 22, B. 52: IV. Larghetto",Dvorák: Serenades for Strings and Winds,2002
Kiri Te Kanawa,47,opera,50,"The Flower Duet (From ""Lakmé"")",Katherine Jenkins / From The Heart,2006
Kiri Te Kanawa,47,classical,50,"The Flower Duet (From ""Lakmé"")",Katherine Jenkins / From The Heart,2006
Cristina Ortiz,46,classical,50,"Le Carnaval des Animaux, R. 125: 13. Le Cygne",Saint-Saëns: Le Carnaval des Animaux; Phaéton; Danse Macabre etc.,1980
Roberto Alagna,45,opera,50,Parla piu piano (Thème du Parrain),Roberto Alagna - The Sicilian,2008
Bedřich Smetana,48,classical,50,"6 Album Leaves, Op. 2, JB 1:51: No. 2 in A Minor, Chanson. Moderato","Smetana: Piano Works, Vol. 4",2009
Akademie für Alte Musik Berlin,48,classical,50,"Overture (Suite) No. 2 in B Minor, BWV 1067: V. Polonaise - Double","Bach, J.S.: Brandenburg Concerto No. 5 / Concerto for 2 Keyboards, Bwv 1061 / Overture (Suite) No. 2",2005
Akademie für Alte Musik Berlin,48,opera,50,"Overture (Suite) No. 2 in B Minor, BWV 1067: V. Polonaise - Double","Bach, J.S.: Brandenburg Concerto No. 5 / Concerto for 2 Keyboards, Bwv 1061 / Overture (Suite) No. 2",2005
Akademie für Alte Musik Berlin,48,requiem,50,"Overture (Suite) No. 2 in B Minor, BWV 1067: V. Polonaise - Double","Bach, J.S.: Brandenburg Concerto No. 5 / Concerto for 2 Keyboards, Bwv 1061 / Overture (Suite) No. 2",2005
Elisabeth Leonskaja,46,classical piano,50,"Chopin: Nocturne No. 1 in B-Flat Minor, Op. 9 No. 1",Chopin: Nocturnes [Complete],1992
Elisabeth Leonskaja,46,classical,50,"Chopin: Nocturne No. 1 in B-Flat Minor, Op. 9 No. 1",Chopin: Nocturnes [Complete],1992
Cyprien Katsaris,47,classical piano,50,"Grieg: Peer Gynt, Op. 23: Morning Mood (Transcr. Katsaris for Piano)",Relaxing Piano,2024
Cyprien Katsaris,47,classical,50,"Grieg: Peer Gynt, Op. 23: Morning Mood (Transcr. Katsaris for Piano)",Relaxing Piano,2024
Eric Whitacre,49,choral,15,Whitacre: The Seal Lullaby,Light & Gold,2010
Alena Cherny,47,classical,9,Gnossienne No. 1,For You - The World's Best Loved Classical Piano Pieces,2013
Alena Cherny,47,classical piano,9,Gnossienne No. 1,For You - The World's Best Loved Classical Piano Pieces,2013
Benjamin Britten,48,classical,50,"Britten: The Young Person's Guide to the Orchestra, Op. 34 ""Variations and Fugue on a Theme of Purcell"" (Instrumental Version)",Last Night of the Proms,2007
