nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
BARBOS,4,rap metal,0,Latinoamerica,No Hay Lugar para los Debiles,2023
Ícaro,6,rock urbano,3,Muerte al Falso Metal,Tiempo Perdido?,2005
Ícaro,6,speed metal,3,Muerte al Falso Metal,Tiempo Perdido?,2005
Frater,7,melodic death metal,3,Fuego,Pulso en Eclipse,2017
2X,26,nu metal,3,La Fuerza Policial,Pateando Craneos,2000
2X,26,rap metal,3,La Fuerza Policial,Pateando Craneos,2000
Jugo,7,funk rock,2,Funky Tirano,Las Aventuras del Niño Ansiedad,2018
Proii Raps,19,anime rap,0,One for All Rap. Rap de Boku No Hero,One for All Rap. Rap de Boku No Hero,2020
Proii Raps,19,anime,0,One for All Rap. Rap de Boku No Hero,One for All Rap. Rap de Boku No Hero,2020
Frantic (Arg),3,speed metal,2,Velocidad Infernal,Heavy Methrash,2024
Frantic (Arg),3,thrash metal,2,Velocidad Infernal,Heavy Methrash,2024
Heart u Heart,11,christian rock,3,Dar Amor,Fuego Extraño,1994
Heart u Heart,11,christian alternative rock,3,Dar Amor,Fuego Extraño,1994
Devenir,6,christian rock,1,Devenir,Red Hipnótica,2020
Devenir,6,melodic metal,1,Devenir,Red Hipnótica,2020
Los Basura,7,hardcore punk,9,CTSA (Compania Tierras Sud Argentino),SNAP (Super Nac And Pop),2020
Los Basura,7,mexican rock,9,CTSA (Compania Tierras Sud Argentino),SNAP (Super Nac And Pop),2020
Bloke,5,speed metal,3,Demolición (Mental),Demolición,1984
Bloke,5,heavy metal,3,Demolición (Mental),Demolición,1984
Dragonauta,6,doom metal,4,Muerte Y Destrucción,Cruz Invertida,2010
Dragonauta,6,sludge metal,4,Muerte Y Destrucción,Cruz Invertida,2010
Dragonauta,6,stoner rock,4,Muerte Y Destrucción,Cruz Invertida,2010
Kainoas,4,nu metal,1,Sin Tu Maldad,Crescendo,2014
Kainoas,4,rap metal,1,Sin Tu Maldad,Crescendo,2014
DGM,26,progressive metal,12,The Secret Pt. 1,The Passage,2016
DGM,26,power metal,12,The Secret Pt. 1,The Passage,2016
DGM,26,progressive rock,12,The Secret Pt. 1,The Passage,2016
DGM,26,melodic metal,12,The Secret Pt. 1,The Passage,2016
Devastacion,5,death metal,8,Muerte Cumbia,...Que lo Parió!!!,1999
Devastacion,5,thrash metal,8,Muerte Cumbia,...Que lo Parió!!!,1999
Mathogo Vox,6,funk rock,0,El Perseguidor,El Perseguidor,2023
JEZABEL,6,power metal,4,A todo o nada - Remastered,A todo o nada,2020
Mattogroso,3,groove metal,2,Koi,A la Batalla,2018
SHREDDER,7,latin alternative,2,Gone,The Longest Karnival,2024
Impostor,3,speed metal,2,Primigenio,Jardín de Cadáveres,2024
Impostor,3,thrash metal,2,Primigenio,Jardín de Cadáveres,2024
Impostor,3,cedm,2,Primigenio,Jardín de Cadáveres,2024
Astenia,9,latin rock,3,Sos Parte,Sos Parte,2014
STRYKER,9,hardcore,0,Misma Sangre,Triple Amenaza,2023
STRYKER,9,hardcore punk,0,Misma Sangre,Triple Amenaza,2023
Dar Sangre,4,metalcore,2,Te Amo,Un Corazón por Cada Ciudad,2008
Dar Sangre,4,post-hardcore,2,Te Amo,Un Corazón por Cada Ciudad,2008
FullMecha Inc.,17,anime,3,Angeles Fuimos - Español,Angeles Fuimos (Español),2024
Kubero Díaz,7,argentine rock,5,Todo Es Todo,Kubero Díaz y la Pesada,2017
Manifiesto Thrash,3,thrash metal,3,Lento Descenso a la Oscuridad,La Ley del Talión,2022
Muro,26,speed metal,12,Mis Amigos Donde Estarán,Mis Amigos Donde Estarán,2023
Muro,26,heavy metal,12,Mis Amigos Donde Estarán,Mis Amigos Donde Estarán,2023
Los Aggrotones,18,rocksteady,4,Mexico,10 Reggae Shots,2013
Los Aggrotones,18,ska,4,Mexico,10 Reggae Shots,2013
Monje,3,doom metal,4,Filosofía del Culto al Fin de los Tiempos,Culto al Fin de los Tiempos,2023
Monje,3,sludge metal,4,Filosofía del Culto al Fin de los Tiempos,Culto al Fin de los Tiempos,2023
Monje,3,stoner rock,4,Filosofía del Culto al Fin de los Tiempos,Culto al Fin de los Tiempos,2023
Valkiria,3,emocore,1,Rosas en Mi Nombre,Cada Parte de Mi Ser,2024
Huaykil,5,argentine rock,5,Huazihul,Me Niego a Caer,2002
Termosismicos,19,anime,1,Pegasus Fantasy,"Anime Song's, Vol. 1 - EP",2016
