nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Pierre-Laurent Aimard,44,classical piano,40,"The Well-Tempered Clavier, Book 1: Prelude No. 1 in C Major BWV 846/1",Bach: The Well-Tempered Clavier I,2014
Pierre-Laurent Aimard,44,classical,40,"The Well-Tempered Clavier, Book 1: Prelude No. 1 in C Major BWV 846/1",Bach: The Well-Tempered Clavier I,2014
André Laplante,47,classical piano,7,Miroirs: III. Une barque sur l'océan,"Ravel: Miroirs, Jeux D'Eau, Pavane Pour Une Infante Défunte",1994
César Franck,46,chamber music,50,"Prélude, fugue et variation in B Minor, Op. 18, FWV 30 (Arr. H. Bauer for Piano): I. Prélude. Andantino",Franck: Piano Rarities - Original Works & Transcriptions,2022
Peter Jablonski,45,classical,27,"Waltz No. 19 in A minor, Op. posth.","Chopin: Waltzes, etc.",1995
Peter Jablonski,45,classical piano,27,"Waltz No. 19 in A minor, Op. posth.","Chopin: Waltzes, etc.",1995
Emmanuel Pahud,46,chamber music,50,"Flute and Harp Concerto in C Major, K. 299: II. Andantino",Mozart: Flötenkonzerte,2025
Emmanuel Pahud,46,classical,50,"Flute and Harp Concerto in C Major, K. 299: II. Andantino",Mozart: Flötenkonzerte,2025
Ayreon,45,progressive metal,15,Comatose,01011001,2008
Ayreon,45,progressive rock,15,Comatose,01011001,2008
Ayreon,45,symphonic metal,15,Comatose,01011001,2008
Ayreon,45,power metal,15,Comatose,01011001,2008
Ayreon,45,symphonic rock,15,Comatose,01011001,2008
Anthony Camden,46,classical,8,"Oboe Concerto in D Minor, Op. 9, No. 2: I. Allegro e non presto","Albinoni: Oboe Concertos, Vol. 1",1993
Yasunori Mitsuda,48,japanese classical,13,Wind Scene (From “Chrono Trigger”) - Acoustic Guitar,"Video Game Guitar Covers, Vol. 3",2021
Yasunori Mitsuda,48,japanese vgm,13,Wind Scene (From “Chrono Trigger”) - Acoustic Guitar,"Video Game Guitar Covers, Vol. 3",2021
Dominique Charpentier,48,neoclassical,17,"Dear, Dolores - Dominique Charpentier Rework","Dear, Piano",2020
Alan Gilbert,47,opera,50,"Concerto for Clarinet and Orchestra in A Major, K. 622: II. Adagio","Mozart: Concerto for Clarinet and Orchestra in A Major, K. 622, II. Adagio",2025
Alan Gilbert,47,classical,50,"Concerto for Clarinet and Orchestra in A Major, K. 622: II. Adagio","Mozart: Concerto for Clarinet and Orchestra in A Major, K. 622, II. Adagio",2025
Sir John Barbirolli,46,classical,50,"Elgar: Cello Concerto in E Minor, Op. 85: I. Adagio - Moderato",Elgar: Cello Concerto,1965
Sir John Barbirolli,46,opera,50,"Elgar: Cello Concerto in E Minor, Op. 85: I. Adagio - Moderato",Elgar: Cello Concerto,1965
Alexis Weissenberg,48,classical piano,39,"Suite bergamasque, L. 75: Clair de lune",Alexis Weissenberg plays Debussy,1969
Alexis Weissenberg,48,classical,39,"Suite bergamasque, L. 75: Clair de lune",Alexis Weissenberg plays Debussy,1969
Sultan Khan,51,ghazal,37,Aao Milo Chalo,Jab We Met,2007
Sultan Khan,51,desi pop,37,Aao Milo Chalo,Jab We Met,2007
Sultan Khan,51,bollywood,37,Aao Milo Chalo,Jab We Met,2007
Anna Netrebko,45,opera,30,Barcarolle,A Season of Music: Offenbach,2022
Anna Netrebko,45,classical,30,Barcarolle,A Season of Music: Offenbach,2022
Arcadi Volodos,46,classical piano,10,"Minuet in A major, D. 334","Schubert: Piano Sonata D.959 & Minuets D. 334, D. 335, D. 600",2019
Arcadi Volodos,46,classical,10,"Minuet in A major, D. 334","Schubert: Piano Sonata D.959 & Minuets D. 334, D. 335, D. 600",2019
George Szell,47,classical,50,Polovetsian Dances from Prince Igor: Introduzione,Mussorgsky: Pictures at an Exhibition - Expanded Edition,1958
George Szell,47,orchestra,50,Polovetsian Dances from Prince Igor: Introduzione,Mussorgsky: Pictures at an Exhibition - Expanded Edition,1958
Kristoffer Wallin,48,neoclassical,3,Into the Light,Into the Light,2025
Mikis Theodorakis,47,entehno,50,Horos Tou Zorba (I) / Zorba's Dance,Zorba the Greek,2004
Mikis Theodorakis,47,laïko,50,Horos Tou Zorba (I) / Zorba's Dance,Zorba the Greek,2004
Philippe Jaroussky,47,opera,36,Ad vitam,Lamomali Totem,2025
Philippe Jaroussky,47,classical,36,Ad vitam,Lamomali Totem,2025
Hildur Guðnadóttir,47,drone,16,Bathroom Dance,Joker (Original Motion Picture Soundtrack),2019
Hildur Guðnadóttir,47,neoclassical,16,Bathroom Dance,Joker (Original Motion Picture Soundtrack),2019
Angela Hewitt,46,classical piano,50,"Morgen, Op. 27 No. 4 (Arr. Reger for Piano)",Love Songs - Piano Transcriptions Without Words,2021
Angela Hewitt,46,classical,50,"Morgen, Op. 27 No. 4 (Arr. Reger for Piano)",Love Songs - Piano Transcriptions Without Words,2021
Wim Mertens,46,minimalism,50,Struggle for Pleasure,The Belly of an Architect,1987
Wim Mertens,46,new age,50,Struggle for Pleasure,The Belly of an Architect,1987
Wim Mertens,46,neoclassical,50,Struggle for Pleasure,The Belly of an Architect,1987
Gaby Casadesus,46,classical,17,"Carnival of the Animals, R. 125: The Swan",Saint-Saëns: Organ Symphony; Bacchanale; Danse Macabre; Carnaval des Animaux,1961
O.S. Arun,50,tamil pop,34,Mudher Kanave,Majunu (Original Motion Picture Soundtrack),2001
György Kurtág,45,classical piano,49,"Gottes Zeit ist die allerbeste Zeit, BWV 106 (arr. by G. Kurtag)",Bach to the Future,2013
György Kurtág,45,classical,49,"Gottes Zeit ist die allerbeste Zeit, BWV 106 (arr. by G. Kurtag)",Bach to the Future,2013
Illuminine,47,neoclassical,14,"Dear, Dolores - Dominique Charpentier Rework","Dear, Piano",2020
Kirill Petrenko,47,classical,20,"Symphony No. 7 in A Major, Op. 92: II. Allegretto",Beethoven: Symphony No. 7,2020
Kirill Petrenko,47,orchestra,20,"Symphony No. 7 in A Major, Op. 92: II. Allegretto",Beethoven: Symphony No. 7,2020
Jan Garbarek,46,jazz,42,Parce Mihi Domine,Officium,1994
Jan Garbarek,46,jazz fusion,42,Parce Mihi Domine,Officium,1994
Benjamin Gustafsson,46,neoclassical,5,I Heard You From Afar,"Dear Earth, I'm Lost",2019
Béla Bartók,45,classical,50,"Romanian Folk Dances, Sz 56: III. Pe-loc - Andante",A Folk Song Runs Through It,2013
Béla Bartók,45,neoclassical,50,"Romanian Folk Dances, Sz 56: III. Pe-loc - Andante",A Folk Song Runs Through It,2013
Alain Marion,46,classical,11,"Carnival of the Animals, R. 125: The Swan",Saint-Saëns: Organ Symphony; Bacchanale; Danse Macabre; Carnaval des Animaux,1961
Jordane Tumarinson,47,neoclassical,7,Sans Regrets,Sans Regrets,2022
