nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
LUDMILLA,75,pagode,10,No_se_ve.mp3,No_se_ve.mp3,2023
LUDMILLA,75,brazilian pop,10,No_se_ve.mp3,No_se_ve.mp3,2023
LUDMILLA,75,funk pop,10,No_se_ve.mp3,No_se_ve.mp3,2023
LUDMILLA,75,pagode baiano,10,No_se_ve.mp3,No_se_ve.mp3,2023
LUDMILLA,75,funk,10,No_se_ve.mp3,No_se_ve.mp3,2023
LUDMILLA,75,funk carioca,10,No_se_ve.mp3,No_se_ve.mp3,2023
LUDMILLA,75,samba,10,No_se_ve.mp3,No_se_ve.mp3,2023
Masoom Sharma,81,haryanvi pop,4,Teri Ramjhol Bole Gi (feat. Kay D & Aarohi Raghav),Teri Ramjhol Bole Gi (feat. Kay D & Aarohi Raghav),2024
Duran Duran,72,new wave,23,Ordinary World,Duran Duran,1993
Duran Duran,72,synthpop,23,Ordinary World,Duran Duran,1993
Atif Aslam,81,bollywood,6,O Saathi,"O Saathi (From ""Baaghi 2"")",2018
Atif Aslam,81,hindi pop,6,O Saathi,"O Saathi (From ""Baaghi 2"")",2018
Atif Aslam,81,desi,6,O Saathi,"O Saathi (From ""Baaghi 2"")",2018
Atif Aslam,81,sufi,6,O Saathi,"O Saathi (From ""Baaghi 2"")",2018
Atif Aslam,81,qawwali,6,O Saathi,"O Saathi (From ""Baaghi 2"")",2018
Julio Iglesias,72,bolero,50,Me Olvide De Vivir,Begin the Beguine,1978
Jamiroquai,71,acid jazz,10,Virtual Insanity - Remastered 2006,Driving Songs,2005
Bon Iver,79,indie folk,6,exile (feat. Bon Iver),folklore,2020
Ela Taubert,67,colombian pop,1,¿Cómo Pasó?,PREGUNTAS A LAS 11:11,2025
Eros Ramazzotti,72,italo dance,45,La Cosa Mas Bella,Donde Hay Música (Spanish Version),1996
Ana Castela,78,agronejo,2,Ilusão De Ótica - Ao Vivo,Envolvente (Ao Vivo / Vol.2),2025
Ana Castela,78,sertanejo,2,Ilusão De Ótica - Ao Vivo,Envolvente (Ao Vivo / Vol.2),2025
Ana Castela,78,sertanejo universitário,2,Ilusão De Ótica - Ao Vivo,Envolvente (Ao Vivo / Vol.2),2025
Ana Castela,78,piseiro,2,Ilusão De Ótica - Ao Vivo,Envolvente (Ao Vivo / Vol.2),2025
Matheus & Kauan,80,sertanejo,14,Ilusão De Ótica - Ao Vivo,Envolvente (Ao Vivo / Vol.2),2025
Matheus & Kauan,80,sertanejo universitário,14,Ilusão De Ótica - Ao Vivo,Envolvente (Ao Vivo / Vol.2),2025
Matheus & Kauan,80,arrocha,14,Ilusão De Ótica - Ao Vivo,Envolvente (Ao Vivo / Vol.2),2025
Matheus & Kauan,80,agronejo,14,Ilusão De Ótica - Ao Vivo,Envolvente (Ao Vivo / Vol.2),2025
Fer Palacio,52,rkt,0,Ya No Más,Ya No Más,2019
Fer Palacio,52,cumbia,0,Ya No Más,Ya No Más,2019
Fer Palacio,52,turreo,0,Ya No Más,Ya No Más,2019
Armin van Buuren,77,trance,27,This Is What It Feels Like,Intense,2013
Armin van Buuren,77,progressive trance,27,This Is What It Feels Like,Intense,2013
Armin van Buuren,77,progressive house,27,This Is What It Feels Like,Intense,2013
Armin van Buuren,77,electronica,27,This Is What It Feels Like,Intense,2013
Armin van Buuren,77,edm,27,This Is What It Feels Like,Intense,2013
Karan Aujla,81,punjabi pop,4,Wavy,Wavy,2024
Karan Aujla,81,punjabi hip hop,4,Wavy,Wavy,2024
Karan Aujla,81,bhangra,4,Wavy,Wavy,2024
Karan Aujla,81,desi hip hop,4,Wavy,Wavy,2024
Karan Aujla,81,desi,4,Wavy,Wavy,2024
John Legend,76,soft pop,18,All of Me,Love In The Future (Expanded Edition),2013
John Legend,76,neo soul,18,All of Me,Love In The Future (Expanded Edition),2013
Boza,70,reggaeton,4,orióN,SAN BLAS,2025
Boza,70,urbano latino,4,orióN,SAN BLAS,2025
Boza,70,pop urbano,4,orióN,SAN BLAS,2025
Gente De Zona,72,latin,10,Bailando - Spanish Version,SEX AND LOVE,2015
Gente De Zona,72,latin dance,10,Bailando - Spanish Version,SEX AND LOVE,2015
Juan Gabriel,77,mariachi,50,Abrázame Muy Fuerte,Abrázame Muy Fuerte,2000
Juan Gabriel,77,ranchera,50,Abrázame Muy Fuerte,Abrázame Muy Fuerte,2000
Juan Gabriel,77,bolero,50,Abrázame Muy Fuerte,Abrázame Muy Fuerte,2000
Juan Gabriel,77,música mexicana,50,Abrázame Muy Fuerte,Abrázame Muy Fuerte,2000
Panic! At The Disco,78,emo,9,High Hopes,Pray for the Wicked,2018
Djo,77,psychedelic pop,3,End of Beginning,DECIDE,2022
Fonseca,71,colombian pop,11,Te Mando Flores,Corazón,2005
Fonseca,71,latin pop,11,Te Mando Flores,Corazón,2005
Alphaville,74,synthpop,16,Forever Young,Forever Young,1984
Stromae,76,french pop,3,Ma Meilleure Ennemie (from the series Arcane League of Legends),Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),2024
Ana Gabriel,75,mariachi,28,Quién Como Tú,Quién Como tú,1990
Ana Gabriel,75,ranchera,28,Quién Como Tú,Quién Como tú,1990
Alesso,76,edm,1,Never Going Home Tonight (feat. Madison Love),Never Going Home Tonight (feat. Madison Love),2024
El Polaco,52,cumbia,14,Deja De Llorar,Sigo Por El Objetivo,2007
El Polaco,52,cuarteto,14,Deja De Llorar,Sigo Por El Objetivo,2007
NF,79,christian hip hop,6,Let You Down,Perception,2017
El Reja,53,cumbia,1,Verano Maldito,Verano Maldito,2024
Kenia Os,74,reggaeton mexa,3,TOMMY & PAMELA,ÉXODO,2024
José Luis Perales,69,trova,29,¿Y Cómo Es Él?,Entre El Agua Y El Fuego,1982
José Luis Perales,69,bolero,29,¿Y Cómo Es Él?,Entre El Agua Y El Fuego,1982
Gucci Mane,78,southern hip hop,50,Wake Up in the Sky,Evil Genius,2018
Gucci Mane,78,rap,50,Wake Up in the Sky,Evil Genius,2018
Gucci Mane,78,trap,50,Wake Up in the Sky,Evil Genius,2018
Belinda,72,latin pop,5,La Cuadrada,La Cuadrada,2025
